id,category_id,name_en,name_fi,description_en,description_fi,price,price_large,discount_price,currency,dietary_tags,allergens,available,image_url,order_links,options_group_ids
# Pita/Burger/Wrap - Meat,,,,,,,,,,,,,,,
chicken_doner,pita_meat,Chicken Döner,Kana Döner,"Tzatziki, kebab sauce, curry mayo, tomato, cucumber, chicken döner, red cabbage, roasted onion, fresh salad mix, sumac onion, parsley","Tzatzikia, kebabkastiketta, currymajoneesia, tomaattia, kurkkua, kanadöneriä, punakaalia, paahdettua sipulia, tuore salaattimix, sumakkisipulia, persiljaa",11.9,14.9,,EUR,"L,G",,TRUE,assets/images/image1.jpg,,size_option
halloumi_chicken_doner,pita_meat,Halloumi-Chicken Döner,Halloumi-Kana Döner,"Tzatziki, kebab sauce, curry mayo, tomato, cucumber, chicken döner, halloumi, fresh salad mix, red cabbage, roasted onion, sumac onion, parsley","Tzatzikia, kebabkastiketta, currymajoneesia, tomaattia, kurkkua, kanadöneriä, halloumia, tuore salaattimix, punakaalia, paahdettua sipulia, sumakkisipulia, persiljaa",12.9,15.9,,EUR,"L,G",,TRUE,assets/images/image1.jpg,,size_option
beef_doner,pita_meat,Beef Döner,Nauta Döner,"Tzatziki, kebab sauce, chili mayo, tomato, cucumber, beef döner, red cabbage, roasted onion, fresh salad mix, sumac onion, parsley","Tzatzikia, kebabkastiketta, chilimajoneesia, tomaattia, kurkkua, naudan döneriä, punakaalia, paahdettua sipulia, tuore salaattimix, sumakkisipulia, persiljaa",13.9,16.9,,EUR,"L,G",,TRUE,assets/images/image1.jpg,,size_option
halloumi_beef_doner,pita_meat,Halloumi-Beef Döner,Halloumi-Nauta Döner,"Tzatziki, kebab sauce, chili mayo, tomato, cucumber, beef döner, halloumi, fresh salad mix, red cabbage, roasted onion, sumac onion, parsley","Tzatzikia, kebabkastiketta, chilimajoneesia, tomaattia, kurkkua, naudan döneriä, halloumia, tuore salaattimix, punakaalia, paahdettua sipulia, sumakkisipulia, persiljaa",14.5,17.5,,EUR,"L,G",,TRUE,assets/images/image1.jpg,,size_option
# Pita/Burger/Wrap - Vegetarian & Vegan,,,,,,,,,,,,,,,
veg_halloumi,pita_veg,Vegetarian Halloumi,Kasvis-Halloumi,"Choose: falafel or seitan-döner (+1€). Falafel, seitan-döner (contains gluten), grilled halloumi, feta, hummus, tzatziki, tomato, cucumber, tabbouleh, salad mix, red cabbage, roasted onion, sumac onion, parsley","Valitse: falafel tai (seitan-döner +1€). Falafelia, seitan-döner (sis. gluteenia), paistettua halloumia, fetaa, hummusta, tzatzikia, tomaattia, kurkkua, tabulea, salaattimix, punakaalia, paahdettua sipulia, sumakkisipulia, persiljaa",11.9,14.9,,EUR,"L,K,G",,TRUE,assets/images/image1.jpg,,size_option
goat_cheese_veg,pita_veg,Goat Cheese & Vegetarian,Vuohenjuusto & Kasvis,"Choose: falafel or seitan-döner (+1€). Falafel/seitan-döner (contains gluten), pesto, hummus, goat cheese, feta, tomato, cucumber, tabbouleh, salad mix, red cabbage, roasted onion, sumac onion, parsley","Valitse: falafel tai (seitan-döner +1€). Falafelia/seitan-döner (sis. gluteenia), pestoa, hummusta, vuohenjuustoa, fetaa, tomaattia, kurkkua, tabulea, salaattimix, punakaalia, paahdettua sipulia, sumakkisipulia, persiljaa",11.9,14.9,,EUR,"VL,K,G",,TRUE,assets/images/image1.jpg,,size_option
veg_feta_eggplant,pita_veg,Vegetarian Feta & Eggplant,Kasvis Feta & Munakoiso,"Choose: falafel or seitan-döner (+1€). Falafel/seitan-döner (contains gluten), tzatziki, hummus, feta, tomato, cucumber, tabbouleh, salad mix, red cabbage, roasted onion, sumac onion, parsley","Valitse: falafel tai (seitan-döner +1€). Falafelia/seitan-döner (sis. gluteenia), tzatzikia, hummusta, fetaa, tomaattia, kurkkua, tabulea, salaattimix, punakaalia, paahdettua sipulia, sumakkisipulia, persiljaa",11.9,14.9,,EUR,"L,K,G",,TRUE,assets/images/image1.jpg,,size_option
eggplant_cauliflower,pita_veg,Eggplant-Cauliflower,Munakoiso-Kukkakaali,"Grilled eggplant and cauliflower, 3 falafel, hummus, tomato, cucumber, tabbouleh, salad mix, pickles, red cabbage, roasted onion, sumac onion, vegan mayo, parsley","Paistettua munakoisoa ja kukkakaalia, 3 falafelia, hummusta, tomaattia, kurkkua, tabulea, salaattimix, suolakurkkua, punakaalia, paahdettua sipulia, sumakkisipulia, vegaanimajoneesia, persiljaa",11.9,14.9,,EUR,,,TRUE,assets/images/image1.jpg,,size_option
house_vegan,pita_veg,House Vegan,Talon Vegan,"Choose: falafel or seitan-döner (+1€). Falafel, seitan-döner (contains gluten), hummus, tomato sauce, tomato, cucumber, pickles, salad mix, red cabbage, roasted onion, sumac onion, vegan mayo, parsley","Valitse: falafel tai (seitan-döner +1€). Falafelia, seitan-döner (sis. gluteenia), hummusta, tomaattikastiketta, tomaattia, kurkkua, suolakurkkua, salaattimix, punakaalia, paahdettua sipulia, sumakkisipulia, vegaanimajoneesia, persiljaa",10.9,12.9,,EUR,"VL,G",,TRUE,assets/images/image1.jpg,,size_option
custom_choice,pita_veg,Be The Chef!,Oma valinta - Be The Chef!,Create your own combination,Luo oma yhdistelmäsi,12.9,13.9,,EUR,,,TRUE,assets/images/image1.jpg,,size_option
# Mezze Bowls,,,,,,,,,,,,,,,
chicken_mezze,mezze_bowls,Chicken Döner Mezze Bowl,Kana Döner Mezze Bowl,"Pide bread, 2 falafel, hummus, tzatziki, tomato, cucumber, tabbouleh, eggplant, chicken döner, chickpeas, salad mix, red cabbage, roasted onion, sumac onion, parsley","Pide-leipää, 2 falafelia, hummusta, tzatzikia, tomaattia, kurkkua, tabulea, munakoisoa, kanadöneriä, kikherneitä, salaattimix, punakaalia, paahdettua sipulia, sumakkisipulia, persiljaa",12.9,15.9,,EUR,"L,G",,TRUE,assets/images/image1.jpg,,size_option
beef_mezze,mezze_bowls,Beef Döner Mezze Bowl,Nauta Döner Mezze Bowl,"Pide bread, 2 falafel, hummus, tzatziki, tomato, cucumber, tabbouleh, eggplant, beef döner, chickpeas, salad mix, red cabbage, roasted onion, sumac onion, parsley","Pide-leipää, 2 falafelia, hummusta, tzatzikia, tomaattia, kurkkua, tabulea, munakoisoa, nautadöneriä, kikherneitä, salaattimix, punakaalia, paahdettua sipulia, sumakkisipulia, persiljaa",14.5,17.5,,EUR,"L,G",,TRUE,assets/images/image1.jpg,,size_option
